,chlf_ann_mean,do_ann_mean,ph_ann_mean,temp_ann_mean,tn_ann_mean,tp_ann_mean,turb_ann_mean,ice_ann_mean,snow_ann_mean,chlf_ann_IQR,temp_ann_IQR,tn_ann_IQR,tp_ann_IQR,turb_ann_IQR,ice_ann_IQR,snow_ann_IQR,Drainage_area_mi2,Flow_annual_mean,Flow_annual.7day_min,Flow_annual_max
Pool04_MN,-0.067319406,0.732827944,1.13931243,-0.878783601,-0.396691701,-0.79723166,-0.879494349,1.346363643,1.338815382,0.091826158,-1.290997874,-0.475378157,-0.983253875,-0.885311535,1.445189334,1.064928439,-0.518985046,-0.654977253,-0.438095568,-0.739144653
Pool08_WI,-0.23035486,1.199734014,1.084446758,-0.95248152,-0.905130779,-0.810608569,-0.885247946,0.850084217,0.988897725,0.104048038,0.378569504,-0.321943807,-0.955272916,-0.997672572,0.67538999,1.135923668,-0.472101609,-0.636508524,-0.717169562,-0.424721202
Pool13_IA,-0.967474581,0.246682529,-0.156562512,-0.827053331,-0.866768072,-0.657205633,-0.579008345,0.418762832,0.228207167,-0.289160264,0.300039183,-0.126799147,-0.51466135,-0.640840249,0.406686446,0.46146899,-0.371473742,-0.38282,-0.417665138,-0.307935349
Pool26_IL,0.45478056,0.214318782,-0.247914583,0.497973018,0.584165914,0.004756027,0.239328619,-0.792055035,-0.851973425,-0.089128438,0.055935451,0.089361012,0.425871722,0.448869029,-0.697176764,-0.887440366,-0.044814341,0.644118324,0.571295348,0.563466789
OR_MO,-0.912242123,-1.358404847,-1.536169293,1.24597048,-0.123111816,0.529754002,1.698740551,-0.911577829,-0.851973425,-1.469649387,-0.934628637,-1.048548354,0.457143827,1.514967711,-1.169223532,-0.887440366,2.003191447,1.754807208,1.78364272,1.767259431
LG_IL,1.722610409,-1.035158423,-0.283112799,0.914374955,1.707536454,1.730535831,0.405681469,-0.911577829,-0.851973425,1.652063893,1.491082374,1.883308453,1.570172591,0.559987615,-0.660865475,-0.887440366,-0.59581671,-0.724619755,-0.7820078,-0.858925016
